issue_number,anchor_text,displayed_nearby_dates,child_url,seed_id,seed_archive_url,status,resolved_archive_url,title,site_date,author,source_text,body_issue_numbers,body_issue_confidence,encoding,media_urls,excerpt,attempt_count,errors
780,带颜色的暑假记忆 780期,2007-9-12|2007-8-21|2007-6-14,http://www.qlsn.com/news_view.asp?id=97,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error timed out>
780,离梦想又近了（第780期）,2007-9-12|2007-8-21,http://www.qlsn.com/news_view.asp?id=98,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
781,山外来的小老师（第781期）,2007-9-12,http://www.qlsn.com/news_view.asp?id=99,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND
784,784期队旗飘飘,2007-10-25|2007-10-9,http://www.qlsn.com/article_view.asp?id=234,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error timed out> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
785,785期,2007-10-25|2007-10-9,http://www.qlsn.com/article_view.asp?id=236,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
785,785期,2007-10-25,http://www.qlsn.com/article_view.asp?id=237,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND
786,786期,2007-10-25,http://www.qlsn.com/article_view.asp?id=238,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,HTTPError:HTTP Error 404: NOT FOUND | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused>
786,786期,2007-10-25,http://www.qlsn.com/article_view.asp?id=239,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused>
787,787期,2007-10-25,http://www.qlsn.com/article_view.asp?id=240,2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error timed out> | HTTPError:HTTP Error 404: NOT FOUND
858,征文启事（858期）,2009-6-3|2009-5-26|2009-4-1|2009-3-29|2008-6-27,http://www.qlsn.com/announce_view.asp?id=185,2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,unrecovered,,,,,,,,,,,6,URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | URLError:<urlopen error [Errno 111] Connection refused> | HTTPError:HTTP Error 404: NOT FOUND
