seed_id,seed_archive_url,seed_encoding,order,anchor_text,raw_href,resolved_original_url,host,internal_qlsn_com,route_class
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,1,首页,index.htm,http://www.qlsn.com/index.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,2,老编新谈,index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,3,********,index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,4,********,index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,5,关于我们,page/P1.htm,http://www.qlsn.com/page/P1.htm,www.qlsn.com,yes,content_like
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,6,少年论坛,lt/zcb.htm,http://www.qlsn.com/lt/zcb.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,7,,index.htm,http://www.qlsn.com/index.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,8,,mailto:39team@niux.com,mailto:39team@niux.com,,no,other
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,9,2001/09/13,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,10,2001/09/09,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,11,2001/09/05,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,12,2001/09/03,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,13,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,14,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,15,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,16,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,17,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_home,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,gb18030,18,,P1.htm,http://www.qlsn.com/P1.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,1,首页,../index.htm,http://www.qlsn.com/index.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,2,老编新谈,../index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,3,********,../index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,4,********,../index3.htm,http://www.qlsn.com/index3.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,5,关于我们,P1.htm,http://www.qlsn.com/page/P1.htm,www.qlsn.com,yes,content_like
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,6,少年论坛,../lt/zcb.htm,http://www.qlsn.com/lt/zcb.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,7,,../index.htm,http://www.qlsn.com/index.htm,www.qlsn.com,yes,html_or_route
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,8,,mailto:39team@niux.com,mailto:39team@niux.com,,no,other
2004_about,https://web.archive.org/web/20040804133449id_/http://www.qlsn.com/page/P1.htm,gb18030,9,首页,../index.htm,http://www.qlsn.com/index.htm,www.qlsn.com,yes,html_or_route
