seed_id,seed_archive_url,seed_encoding,anchor_text,route_type,original_url,snapshot_timestamp,archive_url,digest,title,site_date,author,source_text,issue_number,encoding,identity_verified,metadata_excerpt,fetch_error
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,关于开展红领巾“长征7...,announce,http://www.qlsn.com/announce_view.asp?id=68,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,作文咚咚锵《感动瞬间》...,announce,http://www.qlsn.com/announce_view.asp?id=76,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,我的队报我做主——《齐...,announce,http://www.qlsn.com/announce_view.asp?id=78,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,想成为齐鲁少年小记者的...,announce,http://www.qlsn.com/announce_view.asp?id=79,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,我的队报我作主，选出你...,announce,http://www.qlsn.com/announce_view.asp?id=93,,,,,,,,,,,,HTTPError: HTTP Error 503: Service Unavailable
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,森林里的春节联欢晚会,article,http://www.qlsn.com/article_view.asp?id=216,,,,,,,,,,,,TimeoutError: The read operation timed out
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,妈妈，我想对您说,article,http://www.qlsn.com/article_view.asp?id=217,,,,,,,,,,,,TimeoutError: The read operation timed out
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,神奇的大自然,article,http://www.qlsn.com/article_view.asp?id=218,,,,,,,,,,,,TimeoutError: The read operation timed out
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,我的同桌,article,http://www.qlsn.com/article_view.asp?id=219,,,,,,,,,,,,TimeoutError: The read operation timed out
2007_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,成功来自努力,article,http://www.qlsn.com/article_view.asp?id=220,,,,,,,,,,,,
