download_id,original_url,resolved_archive_url,title,bytes,direct_file_refs,handler_refs,excerpt,attempts,error
106,http://www.qlsn.com/downloads_view.asp?id=106,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=106|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=106,no_valid_archived_payload
107,http://www.qlsn.com/downloads_view.asp?id=107,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=107|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=107,no_valid_archived_payload
108,http://www.qlsn.com/downloads_view.asp?id=108,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=108|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=108,no_valid_archived_payload
109,http://www.qlsn.com/downloads_view.asp?id=109,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=109|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=109,no_valid_archived_payload
110,http://www.qlsn.com/downloads_view.asp?id=110,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=110|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=110,no_valid_archived_payload
111,http://www.qlsn.com/downloads_view.asp?id=111,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=111|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=111,no_valid_archived_payload
116,http://www.qlsn.com/downloads_view.asp?id=116,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=116|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=116,no_valid_archived_payload
117,http://www.qlsn.com/downloads_view.asp?id=117,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=117|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=117,no_valid_archived_payload
118,http://www.qlsn.com/downloads_view.asp?id=118,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=118|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=118,no_valid_archived_payload
119,http://www.qlsn.com/downloads_view.asp?id=119,,,0,,,,20070625133455:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070625133455id_/http://www.qlsn.com/downloads_view.asp?id=119|20070623224226:HTTPError: 404 Client Error: NOT FOUND for url: https://web.archive.org/web/20070623224226id_/http://www.qlsn.com/downloads_view.asp?id=119,no_valid_archived_payload
