seed_id,seed_archive_url,encoding,issue_number,anchor_text,child_url,nearby_dates,context
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,780,带颜色的暑假记忆 780期,http://www.qlsn.com/news_view.asp?id=97,2007-9-12|2007-8-21|2007-6-14,遗忘密码? 山外来的小老师（第781期） 山外来的小老师（第781期） (2007-9-12) 离梦想又近了（第780期） 离梦想又近了（第780期） (2007-9-12) 带颜色的暑假记忆 780期 [LINK] 带颜色的暑假记忆 780期 (2007-9-12) 857087447——专门为齐鲁少年... 857087447——专门为齐鲁少年... (2007-8-21) 我的队报我作主，选出你最喜爱的报标！ 我的队报我作主，选出你最喜爱的报标！ (2007-6-14)
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,780,离梦想又近了（第780期）,http://www.qlsn.com/news_view.asp?id=98,2007-9-12|2007-8-21,尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 山外来的小老师（第781期） 山外来的小老师（第781期） (2007-9-12) 离梦想又近了（第780期） [LINK] 离梦想又近了（第780期） (2007-9-12) 带颜色的暑假记忆 780期 带颜色的暑假记忆 780期 (2007-9-12) 857087447——专门为齐鲁少年... 857087447——专门为齐鲁少年... (2007-8-21) 我的队报我作主，选出你最喜爱的报标！
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,781,山外来的小老师（第781期）,http://www.qlsn.com/news_view.asp?id=99,2007-9-12,少年论坛 帐 号： 密 码： 尚未注册? 尚未注册? 遗忘密码? 遗忘密码? 山外来的小老师（第781期） [LINK] 山外来的小老师（第781期） (2007-9-12) 离梦想又近了（第780期） 离梦想又近了（第780期） (2007-9-12) 带颜色的暑假记忆 780期 带颜色的暑假记忆 780期 (2007-9-12) 857087447——专门为齐鲁少年...
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,784,784期队旗飘飘,http://www.qlsn.com/article_view.asp?id=234,2007-10-25|2007-10-9,785期 785期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 784期队旗飘飘 [LINK] 784期队旗飘飘 2007-10-9 关键字： 类别： 新闻 美文选登 软件下载
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,785,785期,http://www.qlsn.com/article_view.asp?id=236,2007-10-25|2007-10-9,785期 785期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 785期 [LINK] 785期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 784期队旗飘飘 784期队旗飘飘 2007-10-9
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,785,785期,http://www.qlsn.com/article_view.asp?id=237,2007-10-25,786期 786期 2007-10-25 [ 心语快递 心语快递 ] 785期 [LINK] 785期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 785期 785期 2007-10-25
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,786,786期,http://www.qlsn.com/article_view.asp?id=238,2007-10-25,786期 786期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 786期 [LINK] 786期 2007-10-25 [ 心语快递 心语快递 ] 785期 785期 2007-10-25
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,786,786期,http://www.qlsn.com/article_view.asp?id=239,2007-10-25,787期 787期 2007-10-25 [ 心语快递 心语快递 ] 786期 [LINK] 786期 2007-10-25 [ 队旗飘飘 队旗飘飘 ] 786期 786期 2007-10-25
2007_nov,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,787,787期,http://www.qlsn.com/article_view.asp?id=240,2007-10-25,队旗飘飘 队旗飘飘 ] [ 队旗飘飘 队旗飘飘 ] 787期 [LINK] 787期 2007-10-25 [ 心语快递 心语快递 ] 786期 786期 2007-10-25
2009_aug,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,858,征文启事（858期）,http://www.qlsn.com/announce_view.asp?id=185,2009-6-3|2009-5-26|2009-4-1|2009-3-29|2008-6-27,恐龙故乡的科学探秘（870期） 恐龙故乡的科学探秘（870期） (2009-6-3) “绝地”求生（869期） “绝地”求生（869期） (2009-5-26) 征文启事（858期） [LINK] 征文启事（858期） (2009-4-1) 本期话题讨论 本期话题讨论 (2009-3-29) 关于举办齐鲁少年小记者... 关于举办齐鲁少年小记者... (2008-6-27) “‘放学路上’征文”一...
