index,url,error
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=236,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D236&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=98,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D98&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=234,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D234&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=237,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D237&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=239,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D239&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=238,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D238&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=240,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Farticle_view.asp%3Fid%3D240&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/announce_view.asp?id=185,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fannounce_view.asp%3Fid%3D185&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=193,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D193&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=194,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D194&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=196,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D196&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=197,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D197&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=220,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D220&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=97,HTTPError: 404 Client Error: Not Found for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D97&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=223,HTTPError: 503 Server Error: Service Temporarily Unavailable for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D223&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=99,HTTPError: 404 Client Error: Not Found for url: https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D99&output=json&filter=status%3A200&matchType=exact
CC-MAIN-2008-2009,http://www.qlsn.com/news_view.asp?id=224,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=831,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=833,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=834,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=832,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2008-2009,http://www.qlsn.com/article_view.asp?id=835,"ReadTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Read timed out. (read timeout=45)"
CC-MAIN-2009-2010,http://www.qlsn.com/news_view.asp?id=97,"ConnectTimeout: HTTPSConnectionPool(host='index.commoncrawl.org', port=443): Max retries exceeded with url: /CC-MAIN-2009-2010-index?url=http%3A%2F%2Fwww.qlsn.com%2Fnews_view.asp%3Fid%3D97&output=json&filter=status%3A200&matchType=exact (Caused by ConnectTimeoutError(<HTTPSConnection(host='index.commoncrawl.org', port=443) at 0x7fc93c7e1970>, 'Connection to index.commoncrawl.org timed out. (connect timeout=45)'))"
