issue_number,evidence_level,evidence_source,evidence_date,title,source_url,archive_url,context,notes
740,official_content_issue_marker,qlsn_official_content,2006-12-11,齐鲁少年 - 浏览新闻,http://www.qlsn.com/news_view.asp?id=88,https://web.archive.org/web/20070623224004id_/http://www.qlsn.com/news_view.asp?id=88,求真、求实的科学精神，虚心学习、团结协作，争做新时代科技小明星！ 中国少年科学院发来的贺信中说：相信山东省少年科学院将成为齐鲁少年科技创新的殿堂，它将培养出一批璀璨的科技之星。 共青团山东省委书记张光峰主持了山东省少年科学院成立大会。 本报记者 李珊 雨虹 第740期 【 评论 】【 打印 】 相关评论 ·暂时没有评论 查看更多评论或参加评论 :: 关于我们 :: 联系管理员 :: 友情链接 :: 版权声明 :: 齐鲁少年报简介 :: 联系我们 :: 后台管理 Copyright © 2004 - 2005 程序核心: qlsn.com 效果美化: 苍天一笑 . All Rights Reserved. 页面执行时间：296.875 毫秒,parser_confidence=generic_on_qilu_page
745,verified_content,qlsn_official_content,2007-1-18,齐鲁少年 - 浏览文章,http://www.qlsn.com/article_view.asp?id=216,https://web.archive.org/web/20070623223054id_/http://www.qlsn.com/article_view.asp?id=216, 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 森林里的春节联欢晚会 【日期】2007-1-18 【人气】94 【作者】齐鲁少年 【来源】齐鲁少年（745期） 一年一度的春节又来了，动物们填饱了肚子，就来到了老榆树下，它们要在这儿举行春节联欢晚会。 动物们坐下，没有人因座位争吵，不像人类似的，因为它们有一个规定：平时要互相谦让，不准发生争吵。这是狮子大王的规定。 “女士们、先生们，大家晚上好！”大家热烈地鼓起掌来。“今天是春节，我代表后台的工作人员祝大家节日快乐，合家欢乐！”漂亮的主持人顿了顿，又说：“下面请欣赏第一个节目，是由天鹅小姐们表演的芭蕾舞《天鹅湖》。” 一群美丽洁白的天,parser_confidence=source_qilu
745,verified_content,qlsn_official_content,2007-1-18,齐鲁少年 - 浏览文章,http://www.qlsn.com/article_view.asp?id=219,https://web.archive.org/web/20070623224326id_/http://www.qlsn.com/article_view.asp?id=219, 图片 | 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 我的同桌 【日期】2007-1-18 【人气】151 【作者】齐鲁少年 【来源】齐鲁少年（745期） 唉，老师怎么让他和我一个桌呢？他可是我们班男生里最凶的一个啦！ 我偷偷地瞅了他一眼，他正埋头写什么，那长长的脸，上翘的鼻子，还有一张噘噘嘴，在我眼里有些讨厌，真不愿意让他做我的同桌。 但慢慢地，我发现他并不像我原来认为的那么讨厌。有一次，我的钢笔帽不见了，我找了桌子腿的四周没有，又把板凳的前面和后面都找遍了，还是没有找到。我自言自语地说：“我的钢笔帽在哪里呢？”他听了这话，就默默地帮我找了起来，后来终于在讲台的角落里找到了我,parser_confidence=source_qilu
745,verified_content,qlsn_official_content,2007-1-18,齐鲁少年 - 浏览文章,http://www.qlsn.com/article_view.asp?id=221,https://web.archive.org/web/20070625133830id_/http://www.qlsn.com/article_view.asp?id=221, 站内搜索 | 过客留言 | 少年论坛 [ 习作精选 ] | [ 电脑知识 ] | [ 家庭教育 ] | [ 成长乐园 ] | [ 名师讲坛 ] | 浏览文章 你知道1+1＞2吗 【日期】2007-1-18 【人气】135 【作者】齐鲁少年 【来源】齐鲁少年（745期） 小问兜的话：大家一定很想知道今天来的神秘嘉宾是谁吧？由于他送给大家的见面礼太需要精心准备了，所以推迟一期和大家见面。快点欢迎济宁市任城区实验小学的王兆勤老师吧。为什么说他神秘？因为他能教你学课文和学作文一举两得呀。好了，还是赶快来听听王老师的“写作秘笈”吧！ 课本=优秀作文选 我们都知道“读书破万卷，下笔如有神”，说的是读书和作文的关系很密切。书读得多，读得好，写起文章来自然得心应手。这条宝贵的学习经验，对一些认为作文难写，,parser_confidence=source_qilu
780,official_path_verified,qlsn_official_home_anchor,,带颜色的暑假记忆 780期,http://www.qlsn.com/news_view.asp?id=97,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 带颜色的暑假记忆 780期,seed=2007_nov_home; child_snapshot_source=error
780,official_path_verified,qlsn_official_home_anchor,,离梦想又近了（第780期）,http://www.qlsn.com/news_view.asp?id=98,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 离梦想又近了（第780期）,seed=2007_nov_home; child_snapshot_source=error
781,official_path_verified,qlsn_official_home_anchor,,山外来的小老师（第781期）,http://www.qlsn.com/news_view.asp?id=99,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 山外来的小老师（第781期）,seed=2007_nov_home; child_snapshot_source=not_found
784,official_path_verified,qlsn_official_home_anchor,,784期队旗飘飘,http://www.qlsn.com/article_view.asp?id=234,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 784期队旗飘飘,seed=2007_nov_home; child_snapshot_source=error
785,official_path_verified,qlsn_official_home_anchor,,785期,http://www.qlsn.com/article_view.asp?id=236,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 785期,seed=2007_nov_home; child_snapshot_source=error
785,official_path_verified,qlsn_official_home_anchor,,785期,http://www.qlsn.com/article_view.asp?id=237,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 785期,seed=2007_nov_home; child_snapshot_source=error
786,official_path_verified,qlsn_official_home_anchor,,786期,http://www.qlsn.com/article_view.asp?id=238,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 786期,seed=2007_nov_home; child_snapshot_source=error
786,official_path_verified,qlsn_official_home_anchor,,786期,http://www.qlsn.com/article_view.asp?id=239,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 786期,seed=2007_nov_home; child_snapshot_source=error
787,official_path_verified,qlsn_official_home_anchor,,787期,http://www.qlsn.com/article_view.asp?id=240,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,official-home anchor: 787期,seed=2007_nov_home; child_snapshot_source=error
858,official_path_verified,qlsn_official_home_anchor,,征文启事（858期）,http://www.qlsn.com/announce_view.asp?id=185,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,official-home anchor: 征文启事（858期）,seed=2009_dec_home; child_snapshot_source=error
869,official_path_verified,qlsn_official_home_anchor,,“绝地”求生（869期）,http://www.qlsn.com/news_view.asp?id=193,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,official-home anchor: “绝地”求生（869期）,seed=2009_aug_home; child_snapshot_source=error
870,official_path_verified,qlsn_official_home_anchor,,恐龙故乡的科学探秘（870期）,http://www.qlsn.com/news_view.asp?id=194,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,official-home anchor: 恐龙故乡的科学探秘（870期）,seed=2009_aug_home; child_snapshot_source=error
872,official_path_verified,qlsn_official_home_anchor,,山里娃有了新图书(872期),http://www.qlsn.com/news_view.asp?id=196,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,official-home anchor: 山里娃有了新图书(872期),seed=2009_aug_home; child_snapshot_source=error
873,official_path_verified,qlsn_official_home_anchor,,33滴“净水剂”（873期）,http://www.qlsn.com/news_view.asp?id=197,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,official-home anchor: 33滴“净水剂”（873期）,seed=2009_aug_home; child_snapshot_source=error
895,official_path_verified,qlsn_official_home_anchor,,叽叽喳喳“小八卦”（895期）,http://www.qlsn.com/news_view.asp?id=220,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,official-home anchor: 叽叽喳喳“小八卦”（895期）,seed=2009_dec_home; child_snapshot_source=error
897,official_path_verified,qlsn_official_home_anchor,,她的绰号“智能牛魔王”（897期）,http://www.qlsn.com/news_view.asp?id=223,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,official-home anchor: 她的绰号“智能牛魔王”（897期）,seed=2009_dec_home; child_snapshot_source=error
898,official_path_verified,qlsn_official_home_anchor,,“国际儿童墙”上的山东女孩（898期）,http://www.qlsn.com/news_view.asp?id=224,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,official-home anchor: “国际儿童墙”上的山东女孩（898期）,seed=2009_dec_home; child_snapshot_source=error
