source_url,resolved_url,content_type,bytes,sha256,width,height,image_format,ocr_hits,ocr_excerpt,error
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/baaadcef/5a0b1f7762c20726_b.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/baaadcef/5a0b1f7762c20726_b.jpg,image/jpeg,333954,e1201621f3c6c830f0d18cf6cfcd46a385d884f7201bfbbc66543813a0f25f86,1600,2133,JPEG,,RES © ETRE Se comme ii . : oe ae » A : 4 —ooo_—_—s—s—sahs pita nae pegs: is > = ee PR | oe eat a w ee | ee = F ' 4 ~ wv. ig. Rp. ~ o aM J 4 ; . ee Se ra | sii ate ae Pr ce 7. le 1 a is Cy 4 een om by Ami 1 4 3 ¢ : | j = free j = www.kongfz.com j ' whi,
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/baaadcef/5a0b1f7762c20726_s.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/baaadcef/5a0b1f7762c20726_s.jpg,image/jpeg,11671,60284c7bf0c1619e984fc52e1bee7c5ba4547de4895855dbae589b0b9a579dbc,210,280,JPEG,,,
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cabfdfbf/5f79bb1aba0409a7_b.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cabfdfbf/5f79bb1aba0409a7_b.jpg,image/jpeg,450386,9e081381a4952a3d56f91d6ef95e7dbb767c9746f3951de30e0e3e3abff22395,1600,2133,JPEG,2024|年|日,"iii hy Pee 区 和 人 5 mi 站 ne —— An x —_ oo. ae u . 一| waitin, cl ¢ pI Be NAGER ee be 山东省少工 /TEL Cae paren = ntti vem = Qte® A 一 7 i FH 7 一 一 0 i, 7 be —_ : aa ey phy EL, OS. 过 as 好六 区 1交的年轮情俏刀下一打，2024 ee an. mea meni a e 4 j FO ARMIN OMA Mit EEE STS oe | rm) YH aie. NEL VIER, BBE 1 FG Z 2 is ina) -二 二-人 a 本 =一 » 8 ay DrAy >, 4 a 4 Ze ieee = —— wi G | — > ? 4 €; | 所 id = Se 7 1 ‘Gye, Oe, SE — 2 s , Pe 日照市宁波政 + ‘ 可 fat ee ake. | part 一 和 3 / yee Ag Bose 人 sate, BRS é La *¢ a - ih, AREA UHRROMTR | ae a é Hew EN BRO 1. ssurnnnswasase | evn 2 ~ he Jo, rs Benes, (ena, CEM < 上 Sey ba ia : “oc gee ‘ ce ys he : a 2) | De f Ai cee SS Se rare ‘ 5人四) | EO na, | LOHR? 看，来自青岛市刀年制第六实验学 | 4 4 CB eiie~"" 1 Reeeueh, RAPERRELE. AR AQ D, ay 4 PP a ， 市李园街道门村小学的队员们用巧手巧思，制 a q ee Ei ced 238 | 作出一条条活灵活现的彩龙， - J 和 人 ® ! 大家来评一评，谁制作的龙最 = F ye UY S. 38h 1 aka? < ¥ bee { suid Ses ae” Se Sy’ F a. 革州市菜州中心小学队员们 kins aR 层示京剧歌舞 ee RA PAMEFEN-— HB) fF S KH62 Bom Some 学三年级小豆丁们表沟诗朗记 f 5 SSE, ES, TEBE a 5 * | 新年的笑声哪里最多? M ARAB | ll 和 人 | AY! AAR ERG ARBRE RM | gf 日 | - = EY RGE, MUP RSER, RF He has = 4 a ES EAA LARA: AMAL ARB, tpt wy | MO os 于有小品又有魔术; RAERRB RR | A_@_ RS: LkoNRewa Ce ee : ‘omen ae 3 \ a AAT R SES, GL TR” pee ‘ p ~ 2 7 于 tx » ¥ RA, SFOS HD 交织成一片 ’ | a 欢乐的海洋 : AER RE RG) 有 SHR MRS MB Bl Bis). AR. debt, Ete FL 移、张雷、张建老师的帮助 FIBA M4 - glsn001@163.com 小读者 QC d 2 4 Q ##: 96114275 AM 97995 QQ3 4. 218979251 ZEQQH 295164370 Fe Te JLAF NS if FO a f = www.kongfz.com >See",
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cabfdfbf/5f79bb1aba0409a7_s.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cabfdfbf/5f79bb1aba0409a7_s.jpg,image/jpeg,14404,6fc549e7f09c8a3757110e458d76b85539d21dce46056104544959d2182ee3d6,210,280,JPEG,,,
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbcbdaea/7870722f4a50745a_b.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbcbdaea/7870722f4a50745a_b.jpg,image/jpeg,222908,51a02f150c55347890f362c5f7e910017edd5f34603a95f74653bda01340a67b,1600,1200,JPEG,,"0 FE —— 一 = / 一13 一 ee 4, | / ee Se , : s es 0% x ; 4 . 、 % ,时 ‘N SRF A a SN Ss. a a “wwwikongfz:com",
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbcbdaea/7870722f4a50745a_n.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbcbdaea/7870722f4a50745a_n.jpg,image/jpeg,46255,6a7f2e8b9ae5268ea654a4bff126fda0a395ea3d8b77830d8c4c8176ef2bd36b,600,450,JPEG,,,
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbfedaff/17bc19c09a2fc845_b.jpg,,,,,,,,,,URLError: <urlopen error _ssl.c:993: The handshake operation timed out>
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbfedaff/17bc19c09a2fc845_s.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/cbfedaff/17bc19c09a2fc845_s.jpg,image/jpeg,15437,77f3a5d9052a5b315808494d4b7514719e31505d07596dbdd02963195dd658b6,210,280,JPEG,,,
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/ccabcbdb/89beafeb7e559dff_b.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/ccabcbdb/89beafeb7e559dff_b.jpg,image/jpeg,331748,90fbdf09f7c6f4d767d5eabd114ad7215f58c7571603477184205c95a62c23ba,1600,2133,JPEG,,"Nae, 000 a jal ———— Pe ' RN > a gis aw = AS Ye t —<: E Ri pit! i) MENNSE 3) iM” oh! 7” PIPE Cu rm > ws FY) 7 4 CA we ae — | we a ' *; ’ 1 ‘ \ all FLT Be 3 本 www.kongfz.com",
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/eaeddaad/f9b39f1e24cdbf6f_b.jpg,,,,,,,,,,URLError: <urlopen error _ssl.c:993: The handshake operation timed out>
https://www0.kfzimg.com/sw/kfz-cos/kfzimg/eaeddaad/f9b39f1e24cdbf6f_s.jpg,https://www0.kfzimg.com/sw/kfz-cos/kfzimg/eaeddaad/f9b39f1e24cdbf6f_s.jpg,image/jpeg,12950,18996c5c1c1f33332a45b73c49b282610f2b87ab29f803aeea6755807f5f5c0e,280,210,JPEG,,,
